265,591,"영화, 비디오물, 방송 프로그램 제작 및 배급업",59,3
266,601,라디오 방송업,60,3
267,602,텔레비전 방송업,60,3
268,641,은행 및 저축기관,64,3
269,649,기타 금융업,64,3
270,642,신탁업 및 집합 투자업,64,3
271,651,보험업,65,3
272,652,재보험업,65,3
273,846,사회보장 보험업 및 연금업,84,3
274,653,공제업,65,3
275,661,금융 지원 서비스업,66,3
276,662,보험 및 연금관련 서비스업,66,3
277,682,부동산관련 서비스업,68,3
278,702,인문 및 사회과학 연구개발업,70,3
279,701,자연과학 및 공학 연구개발업,70,3
280,711,법무관련 서비스업,71,3
281,712,회계 및 세무관련 서비스업,71,3
282,714,시장 조사 및 여론 조사업,71,3
283,715,회사본부 및 경영 컨설팅 서비스업,71,3
284,729,기타 과학기술 서비스업,72,3
285,721,"건축 기술, 엔지니어링 및 관련 기술 서비스업",72,3
286,713,광고업,71,3
287,733,사진 촬영 및 처리업,73,3
288,739,"그 외 기타 전문, 과학 및 기술 서비스업",73,3
289,732,전문 디자인업,73,3
290,716,기타 전문 서비스업,71,3
291,731,수의업,73,3
292,764,무형 재산권 임대업,76,3
293,752,여행사 및 기타 여행 보조 서비스업,75,3
294,761,운송장비 임대업,76,3
295,763,산업용 기계 및 장비 임대업,76,3
296,762,개인 및 가정용품 임대업,76,3
297,751,고용 알선 및 인력 공급업,75,3
298,753,"경비, 경호 및 탐정업",75,3
299,742,건물ㆍ산업설비 청소 및 방제 서비스업,74,3
300,743,조경관리 및 유지 서비스업,74,3
301,741,사업시설 유지ㆍ관리 서비스업,74,3
302,759,기타 사업지원 서비스업,75,3
303,841,입법 및 일반 정부 행정,84,3
304,842,사회 및 산업정책 행정,84,3
305,843,외무 및 국방 행정,84,3
306,844,사법 및 공공 질서 행정,84,3
307,845,사회보장 행정,84,3
308,856,기타 교육기관,85,3
309,854,"특수학교, 외국인학교 및 대안학교",85,3
310,855,일반 교습학원,85,3
311,851,초등 교육기관,85,3
312,852,중등 교육기관,85,3
313,853,고등 교육기관,85,3
314,856,"특수학교, 외국인학교 및 대안학교",85,3
315,857,교육 지원 서비스업,85,3
316,861,병원,86,3
317,862,의원,86,3
318,869,기타 보건업,86,3
319,863,공중 보건 의료업,86,3
320,871,거주 복지시설 운영업,87,3
321,872,비거주 복지시설 운영업,87,3
322,912,유원지 및 기타 오락관련 서비스업,91,3
323,911,스포츠 서비스업,91,3
324,901,창작 및 예술관련 서비스업,90,3
325,902,"도서관, 사적지 및 유사 여가관련 서비스업",90,3
326,969,그 외 기타 개인 서비스업,96,3
327,951,컴퓨터 및 통신장비 수리업,95,3
328,953,개인 및 가정용품 수리업,95,3
329,952,자동차 및 모터사이클 수리업,95,3
330,961,"미용, 욕탕 및 유사 서비스업",96,3
331,941,산업 및 전문가 단체,94,3
332,942,노동조합,94,3
333,949,기타 협회 및 단체,94,3
334,970,가구 내 고용활동,97,3
335,990,국제 및 외국기관,99,3
336,981,자가 소비를 위한 가사 생산 활동,98,3
337,982,자가 소비를 위한 가사 서비스 활동,98,3
338,0111,곡물 및 기타 식량작물 재배업,011,4
339,0112,"채소, 화훼작물 및 종묘 재배업",011,4
340,0113,"과실, 음료용 및 향신용 작물 재배업",011,4
341,0114,기타 작물 재배업,011,4
342,0115,시설작물 재배업,011,4
343,0121,소 사육업,012,4
344,0129,기타 축산업,012,4
345,0122,양돈업,012,4
346,0123,가금류 및 조류 사육업,012,4
347,0142,축산 관련 서비스업,014,4
348,0130,작물재배 및 축산 복합농업,013,4
349,0141,작물재배 관련 서비스업,014,4
350,0150,수렵 및 관련 서비스업,015,4
351,0201,영림업,020,4
352,0203,임산물 채취업,020,4
353,0202,벌목업,020,4
354,0204,임업 관련 서비스업,020,4
355,0311,해수면 어업,031,4
356,0312,내수면 어업,031,4
357,0321,양식 어업,032,4
358,0322,어업 관련 서비스업,032,4
359,0510,석탄 광업,051,4
360,0729,그 외 기타 비금속광물 광업,072,4
361,0610,철 광업,061,4
362,0620,비철금속 광업,062,4
363,0712,"석재, 쇄석 및 모래, 자갈 채취업",071,4
364,0711,석회석 및 점토 광업,071,4
365,0721,화학용 및 비료 원료용 광물 광업,072,4
366,0722,천일염 생산 및 암염 채취업,072,4
367,0520,원유 및 천연가스 채굴업,052,4
368,0800,광업 지원 서비스업,080,4
369,1011,도축업,101,4
370,1012,육류 가공 및 저장 처리업,101,4
371,1021,수산동물 가공 및 저장 처리업,102,4
372,1030,"과실, 채소 가공 및 저장 처리업",103,4
373,1041,동물성 및 식물성 유지 제조업,104,4
374,1042,낙농제품 및 식용 빙과류 제조업,104,4
375,1051,곡물 가공품 제조업,105,4
376,1090,동물용 사료 및 조제식품 제조업,109,4
377,1052,전분제품 및 당류 제조업,105,4
378,1070,도시락 및 식사용 조리식품 제조업,107,4
379,1060,"떡, 빵 및 과자류 제조업",106,4
380,1081,설탕 제조업,108,4
381,1082,"면류, 마카로니 및 유사 식품 제조업",108,4
382,1083,조미료 및 식품 첨가물 제조업,108,4
383,1022,수산식물 가공 및 저장 처리업,102,4
384,1089,기타 식료품 제조업,108,4
385,1112,증류주 및 합성주 제조업,111,4
386,1111,발효주 제조업,111,4
387,1120,비알코올 음료 및 얼음 제조업,112,4
388,1200,담배 제조업,120,4
389,1310,방적 및 가공사 제조업,131,4
390,1321,직물 직조업,132,4
391,1340,"섬유제품 염색, 정리 및 마무리 가공업",134,4
392,1322,직물제품 제조업,132,4
393,3039,자동차용 기타 신품 부품 제조업,303,4
394,1391,"카펫, 마루덮개 및 유사 제품 제조업",139,4
395,1392,"끈, 로프, 망 및 끈 가공품 제조업",139,4
396,1399,그 외 기타 섬유제품 제조업,139,4
397,1430,편조의복 제조업,143,4
398,1330,편조 원단 제조업,133,4
399,1441,편조 의복 액세서리 제조업,144,4
400,1411,겉옷 제조업,141,4
401,1413,한복 제조업,141,4
402,1419,기타 봉제의복 제조업,141,4
403,1449,기타 의복 액세서리 제조업,144,4
404,1412,속옷 및 잠옷 제조업,141,4
405,1420,모피제품 제조업,142,4
406,1511,모피 및 가죽 제조업,151,4
407,1512,"핸드백, 가방 및 기타 보호용 케이스 제조업",151,4
408,1519,기타 가죽제품 제조업,151,4
409,1521,신발 제조업,152,4
410,1522,신발 부분품 제조업,152,4
411,1610,제재 및 목재 가공업,161,4
412,1621,"박판, 합판 및 강화 목제품 제조업",162,4
413,1622,건축용 나무제품 제조업,162,4
414,1623,"목재 상자, 드럼 및 적재판 제조업",162,4
415,1629,기타 나무제품 제조업,162,4
416,1630,코르크 및 조물 제품 제조업,163,4
417,1710,"펄프, 종이 및 판지 제조업",171,4
418,1790,종이 및 판지 제조업,179,4
419,1721,골판지 및 골판지 가공제품 제조업,172,4
420,1722,"종이 포대, 판지 상자 및 종이 용기 제조업",172,4
421,1790,기타 종이 및 판지 제품 제조업,179,4
422,1811,인쇄업,181,4
423,1812,인쇄관련 산업,181,4
424,1820,기록매체 복제업,182,4
425,1910,코크스 및 연탄 제조업,191,4
426,1921,원유 정제처리업,192,4
427,2012,기초 무기화학 물질 제조업,201,4
428,1922,석유 정제물 재처리업,192,4
429,2011,기초 유기화학 물질 제조업,201,4
430,2013,"무기 안료, 염료, 유연제 및 기타 착색제 제조업",201,4
431,2031,비료 및 질소 화합물 제조업,203,4
432,2020,합성고무 및 플라스틱 물질 제조업,202,4
433,2032,살균ㆍ살충제 및 농약 제조업,203,4
434,2041,"잉크, 페인트, 코팅제 및 유사제품 제조업",204,4
435,2121,완제 의약품 제조업,212,4
436,2122,한의약품 제조업,212,4
437,2110,기초 의약 물질 제조업,211,4
438,2123,동물용 의약품 제조업,212,4
439,2130,의료용품 및 기타 의약 관련제품 제조업,213,4
440,2042,"세제, 화장품 및 광택제 제조업",204,4
441,2049,그 외 기타 화학제품 제조업,204,4
442,2660,마그네틱 및 광학 매체 제조업,266,4
443,2050,화학섬유 제조업,205,4
444,2211,고무 타이어 및 튜브 생산업,221,4
445,2219,기타 고무제품 제조업,221,4
446,2221,1차 플라스틱제품 제조업,222,4
447,2225,플라스틱 발포 성형제품 제조업,222,4
448,2222,건축용 플라스틱제품 제조업,222,4
449,2223,포장용 플라스틱제품 제조업,222,4
450,2229,기타 플라스틱 제품 제조업,222,4
451,2224,기계장비 조립용 플라스틱제품 제조업,222,4
452,2311,판유리 및 판유리 가공품 제조업,231,4
453,2319,기타 유리제품 제조업,231,4
454,2312,산업용 유리 제조업,231,4
455,2322,비내화 일반 도자기 제조업,232,4
456,2321,내화 요업제품 제조업,232,4
457,2323,건축용 비내화 요업제품 제조업,232,4
458,2331,"시멘트, 석회 및 플라스터 제조업",233,4
459,2332,"콘크리트, 레미콘 및 기타 시멘트, 플라스터 제품 제조업",233,4
460,2391,석제품 제조업,239,4
461,2399,그 외 기타 비금속 광물제품 제조업,239,4
462,2411,"제철, 제강 및 합금철 제조업",241,4
463,2419,기타 1차 철강 제조업,241,4
464,2413,철강관 제조업,241,4
465,2412,"철강 압연, 압출 및 연신제품 제조업",241,4
466,2421,"비철금속 제련, 정련 및 합금 제조업",242,4
467,2422,"비철금속 압연, 압출 및 연신제품 제조업",242,4
468,2429,기타 1차 비철금속 제조업,242,4
469,2431,철강 주조업,243,4
470,2432,비철금속 주조업,243,4
471,2511,구조용 금속제품 제조업,251,4
472,2599,그 외 기타 금속 가공제품 제조업,259,4
473,2913,"펌프 및 압축기 제조업; 탭, 밸브 및 유사 장치 제조 포함",291,4
474,2512,"산업용 난방 보일러, 금속탱크 및 유사 용기 제조업",251,4
475,2513,핵반응기 및 증기보일러 제조업,251,4
476,2591,"금속 단조, 압형 및 분말 야금제품 제조업",259,4
477,2592,"금속 열처리, 도금 및 기타 금속 가공업",259,4
478,2593,"날붙이, 수공구 및 일반 철물 제조업",259,4
479,2594,"금속 파스너, 스프링 및 금속선 가공제품 제조업",259,4
480,2911,내연기관 및 터빈 제조업; 항공기용 및 차량용 제외,291,4
481,2912,유압 기기 제조업,291,4
482,2914,"베어링, 기어 및 동력 전달장치 제조업",291,4
483,2915,"산업용 오븐, 노 및 노용 버너 제조업",291,4
484,2916,"산업용 트럭, 승강기 및 물품 취급장비 제조업",291,4
485,2919,기타 일반 목적용 기계 제조업,291,4
486,2917,"냉각, 공기 조화, 여과, 증류 및 가스 발생기 제조업",291,4
487,2921,농업 및 임업용 기계 제조업,292,4
488,2922,가공 공작기계 제조업,292,4
489,2923,금속 주조 및 기타 야금용 기계 제조업,292,4
490,2924,건설 및 광업용 기계장비 제조업,292,4
491,2925,음ㆍ식료품 및 담배 가공기계 제조업,292,4
492,2926,"섬유, 의복 및 가죽 가공기계 제조업",292,4
493,2520,무기 및 총포탄 제조업,252,4
494,2928,산업용 로봇 제조업,292,4
495,2929,기타 특수 목적용 기계 제조업,292,4
496,2927,반도체 및 디스플레이 제조용 기계 제조업,292,4
497,2851,가정용 전기 기기 제조업,285,4
498,2852,가정용 비전기식 조리 및 난방 기구 제조업,285,4
499,2631,컴퓨터 제조업,263,4
500,2632,기억 장치 및 주변 기기 제조업,263,4
501,2918,사무용 기계 및 장비 제조업,291,4
502,2629,기타 전자 부품 제조업,262,4
